job_id,title,company,location,url,posting_date,description,scrape_timestamp,processed_timestamp
03ccbb40-d700-47da-8bdd-19f3d33be695,Data Engineer,Harbor Insights,"Hamburg, Germany",https://example.com/jobs/03ccbb40-d700-47da-8bdd-19f3d33be695,2025-04-03,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:02.651041,2025-04-14T19:34:26.752791
cf9e3b60-7b90-4cdb-a3b3-61c289b79967,Data Engineer,Hanseatic ML,"Hamburg, Germany",https://example.com/jobs/cf9e3b60-7b90-4cdb-a3b3-61c289b79967,2025-03-15,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:02.753294,2025-04-14T19:34:26.752791
49d86f6f-d115-4387-a0a4-f95e1f38f188,Data Engineer,TechCorp GmbH,"Hamburg, Germany",https://example.com/jobs/49d86f6f-d115-4387-a0a4-f95e1f38f188,2025-03-16,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:02.860716,2025-04-14T19:34:26.752791
69892c9d-9075-4330-aacf-d4d61874dddd,Data Engineer,TechCorp GmbH,"Hamburg, Germany",https://example.com/jobs/69892c9d-9075-4330-aacf-d4d61874dddd,2025-03-22,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:02.965785,2025-04-14T19:34:26.752791
93c2f6ed-89c7-47b2-9823-1ae6cc966041,Data Engineer,Port Technology Partners,"Hamburg, Germany",https://example.com/jobs/93c2f6ed-89c7-47b2-9823-1ae6cc966041,2025-03-21,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.066601,2025-04-14T19:34:26.752791
0ed3f49e-0253-4afc-b555-f8ac004c314a,Data Engineer,Elbe Data Systems,"Hamburg, Germany",https://example.com/jobs/0ed3f49e-0253-4afc-b555-f8ac004c314a,2025-04-13,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.170104,2025-04-14T19:34:26.752791
deab65b5-2751-458c-97e6-b9b5141b83be,Data Engineer,Hamburg Digital,"Hamburg, Germany",https://example.com/jobs/deab65b5-2751-458c-97e6-b9b5141b83be,2025-03-18,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.273503,2025-04-14T19:34:26.752791
f10ddb0e-75b2-43ea-b3e2-55dc75c0c17d,Data Engineer,Elbe Data Systems,"Hamburg, Germany",https://example.com/jobs/f10ddb0e-75b2-43ea-b3e2-55dc75c0c17d,2025-03-29,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.375881,2025-04-14T19:34:26.752791
ed19a038-ee22-4a70-a284-6dd048b65b6f,Data Engineer,DataAnalytics AG,"Hamburg, Germany",https://example.com/jobs/ed19a038-ee22-4a70-a284-6dd048b65b6f,2025-04-04,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.481027,2025-04-14T19:34:26.752791
b74157f7-4182-401d-90f5-eef709d88cc4,Data Engineer,Port Technology Partners,"Hamburg, Germany",https://example.com/jobs/b74157f7-4182-401d-90f5-eef709d88cc4,2025-04-09,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.585725,2025-04-14T19:34:26.752791
376b6f88-0126-4315-abfd-a5759f1d1fdb,Data Engineer,Port Technology Partners,"Hamburg, Germany",https://example.com/jobs/376b6f88-0126-4315-abfd-a5759f1d1fdb,2025-04-08,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.690674,2025-04-14T19:34:26.752791
861a5f5c-2794-4e8b-b2d9-850eb726a1b7,Data Engineer,Elbe Data Systems,"Hamburg, Germany",https://example.com/jobs/861a5f5c-2794-4e8b-b2d9-850eb726a1b7,2025-04-12,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.795923,2025-04-14T19:34:26.752791
0121d4a8-1754-4859-9a50-e34725cea989,Data Engineer,Hamburg Digital,"Hamburg, Germany",https://example.com/jobs/0121d4a8-1754-4859-9a50-e34725cea989,2025-03-24,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:03.901244,2025-04-14T19:34:26.752791
686950a2-81f5-4e2d-a990-7c9c8c17ffa4,Data Engineer,Northern Data,"Hamburg, Germany",https://example.com/jobs/686950a2-81f5-4e2d-a990-7c9c8c17ffa4,2025-04-12,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:04.002616,2025-04-14T19:34:26.752791
f4348ed3-3125-403c-9f14-a142060c87a7,Data Engineer,German Tech Solutions,"Hamburg, Germany",https://example.com/jobs/f4348ed3-3125-403c-9f14-a142060c87a7,2025-04-04,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:04.104315,2025-04-14T19:34:26.752791
8e067c39-8643-48ec-825c-b1bf7a4eb244,Data Engineer,Harbor Insights,"Hamburg, Germany",https://example.com/jobs/8e067c39-8643-48ec-825c-b1bf7a4eb244,2025-04-11,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:04.208400,2025-04-14T19:34:26.752791
269d990a-53bf-409f-891d-6fe5322b02b5,Data Engineer,TechCorp GmbH,"Hamburg, Germany",https://example.com/jobs/269d990a-53bf-409f-891d-6fe5322b02b5,2025-03-30,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:04.313591,2025-04-14T19:34:26.752791
d22abea6-6864-4af3-a514-5b149f51a705,Data Engineer,Maritime Analytics,"Hamburg, Germany",https://example.com/jobs/d22abea6-6864-4af3-a514-5b149f51a705,2025-03-21,We are looking for an experienced Data Engineer to join our team.,2025-04-14 19:30:04.414539,2025-04-14T19:34:26.752791
